"data__message","data__link","data__permalink_url","data__created_time","data__type","data__name","data__id","data__shares__count","data__reactions__summary__total_count","data__reactions__summary__viewer_reaction","data__likes__summary__total_count","data__likes__summary__can_like","data__likes__summary__has_liked","data__comments__summary__order","data__comments__summary__total_count","data__comments__summary__can_comment","paging__previous","paging__next"
"Far from home but closer to her goal. Simona Halep knows how to #FindFocus on the road. #ZNE","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1288060071216909/?type=3","https://www.facebook.com/adidas/posts/1288060071216909:0","2016-11-25T15:00:01+0000","photo","Timeline Photos","182162001806727_1288060071216909","32","2342","NONE","2241","False","False","ranked","41","False","",""
"Tune out from the noise. #FindFocus on the move. #ZNE","https://www.facebook.com/adidas/videos/1286728351350081/","https://www.facebook.com/adidas/videos/1286728351350081/","2016-11-24T09:00:00+0000","video","Find Focus On The Move - adidas","182162001806727_1286728351350081","217","2192","NONE","2076","False","False","ranked","164","False","",""
"Creators never follow.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1285156898173893/?type=3","https://www.facebook.com/adidas/posts/1285156898173893:0","2016-11-22T09:43:44+0000","photo","Timeline Photos","182162001806727_1285156898173893","55","2489","NONE","2405","False","False","ranked","48","False","",""
"Do the unexpected. Basketball needs Creators. James Harden is #heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1280760438613539/?type=3","https://www.facebook.com/adidas/posts/1280760438613539:0","2016-11-22T00:01:00+0000","photo","Timeline Photos","182162001806727_1280760438613539","11","663","NONE","643","False","False","ranked","15","False","",""
"Create a dream and live it. James Harden told his family ""IMMA BE A STAR"" 13 years ago, and now he's making it come true.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1284564111566505/?type=3","https://www.facebook.com/adidas/posts/1284564111566505:0","2016-11-21T17:06:48+0000","photo","Timeline Photos","182162001806727_1284564111566505","116","3757","NONE","3541","False","False","ranked","71","False","",""
"Start trends, and inspire culture. Basketball needs Creators #heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1280760068613576/?type=3","https://www.facebook.com/adidas/posts/1280760068613576:0","2016-11-21T04:30:01+0000","photo","Timeline Photos","182162001806727_1280760068613576","19","796","NONE","772","False","False","ranked","13","False","",""
"Basketball needs those who defy the norm on and off the court. James Harden is #heretocreate. See the full story: www.adidas.com/heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1280759231946993/?type=3","https://www.facebook.com/adidas/posts/1280759231946993:0","2016-11-19T21:30:01+0000","photo","Timeline Photos","182162001806727_1280759231946993","12","757","NONE","730","False","False","ranked","16","False","",""
"Unleash your imagination and bring something new. Basketball needs Creators. James Harden is #heretocreate  Find out more: www.adidas.com/heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1280758251947091/?type=3","https://www.facebook.com/adidas/posts/1280758251947091:0","2016-11-18T16:00:02+0000","photo","Timeline Photos","182162001806727_1280758251947091","8","616","NONE","602","False","False","ranked","16","False","",""
"Don’t put your game in a box. Creators make their own rules. James Harden is #heretocreate See his story: www.adidas.com/heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1280757265280523/?type=3","https://www.facebook.com/adidas/posts/1280757265280523:0","2016-11-18T00:30:01+0000","photo","Timeline Photos","182162001806727_1280757265280523","7","465","NONE","452","False","False","ranked","9","False","",""
"Creators make history. World Series Champion and MVP, Kris Bryant.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1280972941925622/?type=3","https://www.facebook.com/adidas/posts/1280972941925622:0","2016-11-17T23:51:46+0000","photo","Timeline Photos","182162001806727_1280972941925622","16","630","NONE","608","False","False","ranked","9","False","",""
"What if creativity was removed from Basketball? James Harden shows us why Basketball Needs Creators. #heretocreate","https://www.facebook.com/adidas/videos/1280477898641793/","https://www.facebook.com/adidas/videos/1280477898641793/","2016-11-17T15:07:04+0000","video","Basketball Needs Creators, feat. James Harden - adidas","182162001806727_1280477898641793","9030","42252","NONE","37648","False","False","ranked","1191","False","",""
"Create the future. A jersey made with Parley Ocean Plastic. Real Madrid C.F. x adidas x Parley for the Oceans #adidasParley","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1268427213180195/?type=3","https://www.facebook.com/adidas/posts/1268427213180195:0","2016-11-06T11:16:28+0000","photo","Timeline Photos","182162001806727_1268427213180195","42","1573","NONE","1507","False","False","ranked","43","False","",""
"A jersey created with Parley Ocean Plastic. FCBayern x adidas x Parley for the Oceans #adidasParley","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1267355079954075/?type=3","https://www.facebook.com/adidas/posts/1267355079954075:0","2016-11-05T09:42:07+0000","photo","Timeline Photos","182162001806727_1267355079954075","41","1761","NONE","1691","False","False","ranked","31","False","",""
"The tides are turning. Parley meets performance to create unique footwear and apparel made with Parley Ocean Plastic. Learn more at www.adidas.com/parley #adidasParley    🌊","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1265689556787294/?type=3","https://www.facebook.com/adidas/posts/1265689556787294:0","2016-11-04T09:00:01+0000","photo","Timeline Photos","182162001806727_1265689556787294","415","8724","NONE","8089","False","False","ranked","202","False","",""
"From threat to thread. #adidasParley  Parley for the Oceans","https://www.facebook.com/adidas/videos/1265603656795884/","https://www.facebook.com/adidas/videos/1265603656795884/","2016-11-04T08:00:00+0000","video","","182162001806727_1265603656795884","1389","3067","NONE","2797","False","False","ranked","164","False","",""
"Creators break curses. Kris Bryant is bringing home a World Series Championship. #heretocreate","https://www.facebook.com/adidas/videos/1265106563512260/","https://www.facebook.com/adidas/videos/1265106563512260/","2016-11-03T04:52:06+0000","video","","182162001806727_1265106563512260","48","793","NONE","752","False","False","ranked","16","False","",""
"Prime-Time player. All-Star creator. The journey isn't complete for Kyle Lowry. Run point, the game will take you places. The adidas Athletics x Reigning Champ collection drops 11/29.","https://www.facebook.com/adidas/videos/1264566840232899/","https://www.facebook.com/adidas/videos/1264566840232899/","2016-11-02T16:10:55+0000","video","","182162001806727_1264566840232899","26","542","NONE","520","False","False","ranked","14","False","",""
"From humble beginnings to mile high stardom, Von Miller creates his own podium. Embrace the journey, the game will take you places. The adidas Athletics x Reigning Champ collection drops 11/29.","https://www.facebook.com/adidas/videos/1263517277004522/","https://www.facebook.com/adidas/videos/1263517277004522/","2016-11-01T16:10:30+0000","video","","182162001806727_1263517277004522","32","591","NONE","568","False","False","ranked","13","False","",""
"GLITCH. A modular football boot with a core inner shoe and changeable skin. Create endless looks and performance edges without ever losing the same feel. Coming soon to London.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1262169623805954/?type=3","https://www.facebook.com/adidas/posts/1262169623805954:0","2016-10-31T09:00:48+0000","photo","Timeline Photos","182162001806727_1262169623805954","105","2879","NONE","2653","False","False","ranked","114","False","",""
"Never underestimate a creator.  It's time for Paul Labile Pogba to make the rules.  #heretocreate","https://www.facebook.com/adidas/videos/1259809580708625/","https://www.facebook.com/adidas/videos/1259809580708625/","2016-10-29T08:00:45+0000","video","","182162001806727_1259809580708625","63","1475","NONE","1376","False","False","ranked","25","False","",""
"A new suit of armour for a team of natural born creators. The All Blacks are back and battle ready.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1258161700873413/?type=3","https://www.facebook.com/adidas/posts/1258161700873413:0","2016-10-28T07:00:01+0000","photo","Timeline Photos","182162001806727_1258161700873413","9","824","NONE","797","False","False","ranked","14","False","",""
"With the game on the line, creators play above the rim. Welcome to the Three Stripes starting lineup, Kristaps Porzingis.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1256224961067087/?type=3","https://www.facebook.com/adidas/posts/1256224961067087:0","2016-10-25T16:09:52+0000","photo","Timeline Photos","182162001806727_1256224961067087","53","1216","NONE","1175","False","False","ranked","27","False","",""
"Football needs the unexpected.  Football needs creators.  Paul Labile Pogba is #heretocreate.","https://www.facebook.com/adidas/videos/1253754624647454/","https://www.facebook.com/adidas/videos/1253754624647454/","2016-10-23T14:00:00+0000","video","","182162001806727_1253754624647454","47","964","NONE","924","False","False","ranked","15","False","",""
"The legacy of a true creator begins. Harden Vol. 1 has landed.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1252847591404824/?type=3","https://www.facebook.com/adidas/posts/1252847591404824:0","2016-10-22T20:19:20+0000","photo","Timeline Photos","182162001806727_1252847591404824","20","998","NONE","968","False","False","ranked","18","False","",""
"Football needs risk takers.  Football needs creators.  Paul Labile Pogba is #heretocreate.","https://www.facebook.com/adidas/videos/1251099411579642/","https://www.facebook.com/adidas/videos/1251099411579642/","2016-10-21T08:01:22+0000","video","","182162001806727_1251099411579642","59","1178","NONE","1124","False","False","ranked","25","False","",""
"Creators bring imagination to the game. Paul Labile Pogba is ready to prove it. See his story: http://a.did.as/60078883N. #heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1250442338312016/?type=3","https://www.facebook.com/adidas/posts/1250442338312016:0","2016-10-20T17:18:22+0000","photo","Timeline Photos","182162001806727_1250442338312016","13","967","NONE","932","False","False","ranked","16","False","",""
"Give Paul Labile Pogba the freedom and watch him create.  See his story: http://a.did.as/618488HzQ  #heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1248007445222172/?type=3","https://www.facebook.com/adidas/posts/1248007445222172:0","2016-10-18T08:00:05+0000","photo","Timeline Photos","182162001806727_1248007445222172","5","957","NONE","914","False","False","ranked","15","False","",""
"Refusing to be anyone else, Paul Labile Pogba plays by his own rules. See his story: http://a.did.as/60078883N #heretocreate","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1247338305289086/?type=3","https://www.facebook.com/adidas/posts/1247338305289086:0","2016-10-17T19:09:57+0000","photo","Timeline Photos","182162001806727_1247338305289086","16","979","NONE","945","False","False","ranked","16","False","",""
"","https://www.facebook.com/adidas/photos/a.378587962164129.86570.182162001806727/1247226625300254/?type=3","https://www.facebook.com/adidas/posts/1247227931966790","2016-10-17T17:42:59+0000","photo","adidas's cover photo","182162001806727_1247226625300254","14","1540","NONE","1479","False","False","ranked","19","False","",""
"","https://www.facebook.com/adidas/photos/a.187482561274671.40774.182162001806727/1247224858633764/?type=3","https://www.facebook.com/adidas/posts/1247225061967077:0","2016-10-17T17:42:16+0000","photo","adidas","182162001806727_1247224858633764","58","3544","NONE","3419","False","False","ranked","37","False","",""
"A born creator, he’s always done things his own way.  Football needs creators.  Paul Labile Pogba is the proof.  #HereToCreate","https://www.facebook.com/adidas/videos/1239832842706299/","https://www.facebook.com/adidas/videos/1239832842706299/","2016-10-17T08:00:00+0000","video","Football Needs Creators, feat. Paul Pogba – adidas","182162001806727_1239832842706299","17418","75960","NONE","65893","False","False","ranked","1975","False","",""
"Sport needs courage.  Sport needs creators.  Paul Labile Pogba is #heretocreate.","https://www.facebook.com/adidas/videos/1245991422090441/","https://www.facebook.com/adidas/videos/1245991422090441/","2016-10-16T20:00:00+0000","video","","182162001806727_1245991422090441","59","1342","NONE","1283","False","False","ranked","21","False","",""
"Ready for everything.  You are Not Made for Normal. #Climaheat  http://www.adidas.com/climazone","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1243573662332217/?type=3","https://www.facebook.com/adidas/posts/1243573662332217:0","2016-10-14T14:00:01+0000","photo","Timeline Photos","182162001806727_1243573662332217","18","993","NONE","971","False","False","ranked","18","False","",""
"Cross the line.  You are Not Made for Normal. #Climaheat  http://www.adidas.com/climazone","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1238893556133561/?type=3","https://www.facebook.com/adidas/posts/1238893556133561:0","2016-10-10T09:00:11+0000","photo","Timeline Photos","182162001806727_1238893556133561","28","1294","NONE","1258","False","False","ranked","23","False","",""
"Sport doesn’t need normal.  Sport needs creators.  James Harden is #heretocreate.","https://www.facebook.com/adidas/videos/1238040089552241/","https://www.facebook.com/adidas/videos/1238040089552241/","2016-10-09T08:00:28+0000","video","","182162001806727_1238040089552241","45","1017","NONE","982","False","False","ranked","22","False","",""
"When the frost bites, bite back.  You are Not Made for Normal. #Climaheat http://a.did.as/618886dbw","https://www.facebook.com/adidas/videos/1236493636373553/","https://www.facebook.com/adidas/videos/1236493636373553/","2016-10-07T14:05:28+0000","video","Climaheat: Not Made for Normal - adidas","182162001806727_1236493636373553","55","848","NONE","808","False","False","ranked","12","False","",""
"Free your imagination and make the court your own. Sport needs creators. Moriah Jefferson is #heretocreate.","https://www.facebook.com/adidas/videos/1234085766614340/","https://www.facebook.com/adidas/videos/1234085766614340/","2016-10-04T15:00:33+0000","video","","182162001806727_1234085766614340","39","638","NONE","616","False","False","ranked","20","False","",""
"Create a moment your country will never forget. Sidney Crosby and Team Canada: 2016 World Cup of Hockey Champions 🏆","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1230218280334422/?type=3","https://www.facebook.com/adidas/posts/1230218280334422:0","2016-09-30T03:52:13+0000","photo","Timeline Photos","182162001806727_1230218280334422","16","616","NONE","598","False","False","ranked","9","False","",""
"Celebrate the present. Create the future. Awarded the 2016 PGA of America Player of the Year and Vardon Trophy, Dustin Johnson is Team adidas.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1230013210354929/?type=3","https://www.facebook.com/adidas/posts/1230013210354929:0","2016-09-29T22:36:11+0000","photo","Timeline Photos","182162001806727_1230013210354929","8","585","NONE","573","False","False","ranked","7","False","",""
"Create your own luck. Sport needs creators. Kris Bryant is #heretocreate","https://www.facebook.com/adidas/videos/1223322841023966/","https://www.facebook.com/adidas/videos/1223322841023966/","2016-09-22T21:04:34+0000","video","","182162001806727_1223322841023966","23","604","NONE","581","False","False","ranked","24","False","",""
"Introducing Futurecraft M.F.G., the first high performance footwear from the adidas SPEEDFACTORY. The future is now.","https://www.facebook.com/adidas/videos/1222436901112560/","https://www.facebook.com/adidas/videos/1222436901112560/","2016-09-21T18:31:58+0000","video","Futurecraft M.F.G. - adidas","182162001806727_1222436901112560","871","4180","NONE","3773","False","False","ranked","212","False","",""
"Is your game grown in a lab? Didn’t think so.  Bring your creativity. Sport needs you. #heretocreate. www.adidas.com/heretocreate","https://www.facebook.com/adidas/videos/1222001007822816/","https://www.facebook.com/adidas/videos/1222001007822816/","2016-09-21T13:00:28+0000","video","Kris Bryant: Here To Create - adidas","182162001806727_1222001007822816","12","532","NONE","516","False","False","ranked","7","False","",""
"With the game on the line, make it up on the fly. Sport needs creators. Aaron Rodgers is #heretocreate","https://www.facebook.com/adidas/videos/1218451114844472/","https://www.facebook.com/adidas/videos/1218451114844472/","2016-09-17T16:01:45+0000","video","","182162001806727_1218451114844472","23","730","NONE","700","False","False","ranked","20","False","",""
"Bring more than just hard work to your game. Bring creativity. Sport needs you. #heretocreate","https://www.facebook.com/adidas/videos/1217843324905251/","https://www.facebook.com/adidas/videos/1217843324905251/","2016-09-16T20:53:21+0000","video","","182162001806727_1217843324905251","23","576","NONE","560","False","False","ranked","10","False","",""
"YEEZY 350 CLEAT by Kanye West. September 15, 2016.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1215896438433273/?type=3","https://www.facebook.com/adidas/posts/1215896438433273:0","2016-09-14T16:03:27+0000","photo","Timeline Photos","182162001806727_1215896438433273","274","3462","NONE","3032","False","False","ranked","1067","False","",""
"When it’s game time, unleash your inner freak. Sport needs creators. Von Miller is #heretocreate","https://www.facebook.com/adidas/videos/1214593565230227/","https://www.facebook.com/adidas/videos/1214593565230227/","2016-09-13T13:29:25+0000","video","Sport Needs Creators - Von Miller - adidas","182162001806727_1214593565230227","23","603","NONE","583","False","False","ranked","12","False","",""
"Dedication alone isn’t enough. Bring your creativity. Sport needs you. #heretocreate","https://www.facebook.com/adidas/videos/1214050548617862/","https://www.facebook.com/adidas/videos/1214050548617862/","2016-09-12T20:57:02+0000","video","","182162001806727_1214050548617862","25","617","NONE","596","False","False","ranked","17","False","",""
"Block out the white noise. This is a Zero Negative Energy zone. #FindFocus","https://www.facebook.com/adidas/videos/1211931438829773/","https://www.facebook.com/adidas/videos/1211931438829773/","2016-09-10T10:04:49+0000","video","#FindFocus - adidas","182162001806727_1211931438829773","229","1830","NONE","1741","False","False","ranked","47","False","",""
"Hood up. Noise out. #FindFocus in the #ZNE Hoodie. Available now at www.adidas.com/athletics","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1211879302168320/?type=3","https://www.facebook.com/adidas/posts/1211879302168320:0","2016-09-10T08:00:05+0000","photo","Timeline Photos","182162001806727_1211879302168320","126","5111","NONE","4833","False","False","ranked","113","False","",""
"","https://www.facebook.com/adidas/photos/a.378587962164129.86570.182162001806727/1211579535531630/?type=3","https://www.facebook.com/adidas/posts/1211579582198292","2016-09-09T23:05:43+0000","photo","adidas's cover photo","182162001806727_1211579535531630","30","3463","NONE","3342","False","False","ranked","30","False","",""
"","https://www.facebook.com/adidas/photos/a.187482561274671.40774.182162001806727/1211578825531701/?type=3","https://www.facebook.com/adidas/posts/1211578898865027:0","2016-09-09T23:04:21+0000","photo","adidas","182162001806727_1211578825531701","167","14012","NONE","13462","False","False","ranked","56","False","",""
"10th September. #FindFocus #ZNE","https://www.facebook.com/adidas/videos/1211281755561408/","https://www.facebook.com/adidas/videos/1211281755561408/","2016-09-09T18:50:00+0000","video","Find Focus - adidas","182162001806727_1211281755561408","8","453","NONE","434","False","False","ranked","8","False","",""
"10th September.  #FindFocus #ZNE","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1211302965559287/?type=3","https://www.facebook.com/adidas/posts/1211302965559287:0","2016-09-09T16:00:13+0000","photo","Timeline Photos","182162001806727_1211302965559287","6","409","NONE","396","False","False","ranked","4","False","",""
"""People try to get to you. Don‘t play their game. Focus is your weapon. #FindFocus"" – James Harden","https://www.facebook.com/adidas/videos/1211098725579711/","https://www.facebook.com/adidas/videos/1211098725579711/","2016-09-09T14:00:01+0000","video","James Harden: Find Focus - adidas","182162001806727_1211098725579711","62","737","NONE","717","False","False","ranked","12","False","",""
"“Work harder. Feel the pain. Do it again. You‘re a secret assassin. #FindFocus"" - Coco","https://www.facebook.com/adidas/videos/1210025732353677/","https://www.facebook.com/adidas/videos/1210025732353677/","2016-09-08T12:02:00+0000","video","Coco: Find Focus - adidas","182162001806727_1210025732353677","32","574","NONE","550","False","False","ranked","10","False","",""
"“They think you‘re quick, but that‘s not enough. Today, they will not catch me. #FindFocus“ – Gareth Bale","https://www.facebook.com/adidas/videos/1204901922866058/","https://www.facebook.com/adidas/videos/1204901922866058/","2016-09-04T09:00:00+0000","video","Gareth Bale: Find Focus - adidas","182162001806727_1204901922866058","59","1012","NONE","968","False","False","ranked","44","False","",""
"“When I focus, there is no pressure. Snap that finish line. The end is mine. #FindFocus“ – Tori Bowie","https://www.facebook.com/adidas/videos/1204149939607923/","https://www.facebook.com/adidas/videos/1204149939607923/","2016-09-03T12:00:42+0000","video","Tori Bowie: Find Focus - adidas","182162001806727_1204149939607923","27","509","NONE","495","False","False","ranked","10","False","",""
"Get your head strong. Attack distraction.  #FindFocus","https://www.facebook.com/adidas/videos/1203263039696613/","https://www.facebook.com/adidas/videos/1203263039696613/","2016-09-02T20:00:00+0000","video","James Harden: Find Focus - adidas","182162001806727_1203263039696613","81","762","NONE","732","False","False","ranked","15","False","",""
"Sprint through the noise. Faster than light.  #FindFocus","https://www.facebook.com/adidas/videos/1202319719790945/","https://www.facebook.com/adidas/videos/1202319719790945/","2016-09-01T18:00:00+0000","video","Gareth Bale: Find Focus - adidas","182162001806727_1202319719790945","66","934","NONE","894","False","False","ranked","19","False","",""
"Prove them wrong. Show them right.  #FindFocus","https://www.facebook.com/adidas/videos/1201139563242294/","https://www.facebook.com/adidas/videos/1201139563242294/","2016-08-31T09:00:00+0000","video","Coco: Find Focus - adidas","182162001806727_1201139563242294","28","726","NONE","705","False","False","ranked","23","False","",""
"Align your mind. Your game is on.  #FindFocus","https://www.facebook.com/adidas/videos/1200416903314560/","https://www.facebook.com/adidas/videos/1200416903314560/","2016-08-30T12:00:00+0000","video","Ana Ivanovic: Find Focus - adidas","182162001806727_1200416903314560","40","647","NONE","622","False","False","ranked","25","False","",""
"No pressure. Regrets are for them.  #FindFocus","https://www.facebook.com/adidas/videos/1199405590082358/","https://www.facebook.com/adidas/videos/1199405590082358/","2016-08-29T09:00:00+0000","video","Tori Bowie: Find Focus - adidas","182162001806727_1199405590082358","30","483","NONE","469","False","False","ranked","14","False","",""
"The golden generation has arrived.  #SpeedTakes DFB-Frauen www.adidas.com/speedtakes","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1191669580855959/?type=3","https://www.facebook.com/adidas/posts/1191669580855959:0","2016-08-19T22:45:59+0000","photo","Timeline Photos","182162001806727_1191669580855959","18","814","NONE","782","False","False","ranked","53","False","",""
"Hup Holland Hup! Teamwork makes a nation proud. #SpeedTakes Eva de Goede http://www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1191640257525558/","https://www.facebook.com/adidas/videos/1191640257525558/","2016-08-19T21:58:03+0000","video","Eva de Goede: Speed Takes A Team - adidas","182162001806727_1191640257525558","14","865","NONE","847","False","False","ranked","30","False","",""
"A life's work for one moment. #SpeedTakes planning. Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1189840444372206/","https://www.facebook.com/adidas/videos/1189840444372206/","2016-08-17T13:00:20+0000","video","Speed Takes Planning - adidas","182162001806727_1189840444372206","25","778","NONE","746","False","False","ranked","23","False","",""
"Never not winning.  This shouldn't come as a shock.  World Record, team title and top of the podium.  #SpeedTakes Laura Trott www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1189352634420987/","https://www.facebook.com/adidas/videos/1189352634420987/","2016-08-16T20:44:15+0000","video","Laura Trott: Speed Takes Pain - adidas","182162001806727_1189352634420987","14","431","NONE","416","False","False","ranked","15","False","",""
"It was always within her reach.   All she had to do was take it.  #SpeedTakes Shaunae Miller Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1188821461140771/","https://www.facebook.com/adidas/videos/1188821461140771/","2016-08-16T02:20:55+0000","video","Shaunae Miller: Speed Takes Confidence - adidas","182162001806727_1188821461140771","33","481","NONE","449","False","False","ranked","41","False","",""
"One is never enough.  A true champion always comes back for more.  #SpeedTakes David Rudisha Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1188804587809125/","https://www.facebook.com/adidas/videos/1188804587809125/","2016-08-16T01:50:45+0000","video","David Rudisha: Speed Takes Dedication - adidas","182162001806727_1188804587809125","23","412","NONE","393","False","False","ranked","1","False","",""
