"data__message","data__link","data__permalink_url","data__created_time","data__type","data__name","data__id","data__shares__count","data__reactions__summary__total_count","data__reactions__summary__viewer_reaction","data__likes__summary__total_count","data__likes__summary__can_like","data__likes__summary__has_liked","data__comments__summary__order","data__comments__summary__total_count","data__comments__summary__can_comment","paging__previous","paging__next"
"Creativity can come from anywhere. Athletes from around Florida test their skills Muck City-style. This is how you create New Speed.","https://www.facebook.com/adidas/videos/1166103330079251/","https://www.facebook.com/adidas/videos/1166103330079251/","2016-07-14T23:57:55+0000","video","","182162001806727_1166103330079251","504","1436","NONE","1356","False","False","ranked","114","False","",""
"Experiment with your creativity.   Let your imagination run wild off the pitch so you can cause chaos on it.  S3 is here to create.  http://www.adidas.com/heretocreate","https://www.facebook.com/adidas/videos/1165784223444495/","https://www.facebook.com/adidas/videos/1165784223444495/","2016-07-14T14:00:00+0000","video","Creating Chaos - adidas","182162001806727_1165784223444495","253","670","NONE","616","False","False","ranked","35","False","",""
"","https://www.facebook.com/adidas/photos/a.378587962164129.86570.182162001806727/1165822043440713/?type=3","https://www.facebook.com/adidas/posts/1165822120107372","2016-07-14T13:33:04+0000","photo","adidas's cover photo","182162001806727_1165822043440713","8","379","NONE","367","False","False","ranked","9","False","",""
"Create the future through sport. Today, we are proud to partner with Mayor de Blasio and @NYCFC to launch the New York City Soccer Initiative. This initiative will bring 50 new soccer fields to underserved neighborhoods across the five boroughs over the next five years.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1164519750237609/?type=3","https://www.facebook.com/adidas/posts/1164519750237609:0","2016-07-12T15:24:52+0000","photo","Timeline Photos","182162001806727_1164519750237609","65","733","NONE","700","False","False","ranked","21","False","",""
"Creators light up the pitch.  Introducing the Speed of Light Pack. Available worldwide Friday.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1164375943585323/?type=3","https://www.facebook.com/adidas/posts/1164375943585323:0","2016-07-12T10:00:04+0000","photo","Timeline Photos","182162001806727_1164375943585323","24","532","NONE","494","False","False","ranked","11","False","",""
"Inspiring the next generation by creating the standard. Thank you, Tim. The greatest Power Forward. Ever.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1163902363632681/?type=3","https://www.facebook.com/adidas/posts/1163902363632681:0","2016-07-11T16:07:00+0000","photo","Timeline Photos","182162001806727_1163902363632681","21","547","NONE","513","False","False","ranked","4","False","",""
"Stars rep stripes. Today, Kris Bryant is geared to create fireworks on the diamond 🇺🇸","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1159228390766745/?type=3","https://www.facebook.com/adidas/posts/1159228390766745:0","2016-07-04T13:17:16+0000","photo","Timeline Photos","182162001806727_1159228390766745","23","559","NONE","534","False","False","ranked","23","False","",""
"Engineered for creators. Crazylight 2016 features full-length BOOST for the ultimate low-top. Available now worldwide.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1158100667546184/?type=3","https://www.facebook.com/adidas/posts/1158100667546184:0","2016-07-02T16:07:17+0000","photo","Timeline Photos","182162001806727_1158100667546184","27","617","NONE","596","False","False","ranked","19","False","",""
"Play fast, stay focused.  Simona Halep surprises her opponents and takes her game to them.  #SpeedTakes aggression.","https://www.facebook.com/adidas/videos/1156599851029599/","https://www.facebook.com/adidas/videos/1156599851029599/","2016-06-30T12:56:12+0000","video","Simona Halep: Speed Takes Aggression - adidas","182162001806727_1156599851029599","91","546","NONE","503","False","False","ranked","27","False","",""
"Two years in and the game’s just been changed again.  adidas + KANYE WEST","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1155856487770602/?type=3","https://www.facebook.com/adidas/posts/1155856487770602:0","2016-06-29T10:00:21+0000","photo","Timeline Photos","182162001806727_1155856487770602","51","655","NONE","595","False","False","ranked","81","False","",""
"The top of the podium is Allison Schmitt‘s destination.  Her past defeats are the fuel that will take her there.  #SpeedTakes progress.","https://www.facebook.com/adidas/videos/1155318317824419/","https://www.facebook.com/adidas/videos/1155318317824419/","2016-06-28T14:00:00+0000","video","Allison Schmitt: Speed Takes Progress - adidas","182162001806727_1155318317824419","79","412","NONE","396","False","False","ranked","18","False","",""
"Injuries almost ruined her career. Almost.  Jaque Carvalho fought her way back to the top.  #SpeedTakes guts.","https://www.facebook.com/adidas/videos/1154643847891866/","https://www.facebook.com/adidas/videos/1154643847891866/","2016-06-27T14:00:00+0000","video","Jaqueline Carvalho: Speed Takes Guts - adidas","182162001806727_1154643847891866","350","754","NONE","690","False","False","ranked","43","False","",""
"Uncage your run.  The greatest running shoe ever is reborn.  #UltraBOOST Uncaged drops worldwide June 29th.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1151294368226814/?type=3","https://www.facebook.com/adidas/posts/1151294368226814:0","2016-06-22T15:00:01+0000","photo","Timeline Photos","182162001806727_1151294368226814","50","773","NONE","737","False","False","ranked","73","False","",""
"Seamless design. Limitless performance. Create your future in running with AlphaBOUNCE.","https://www.facebook.com/adidas/videos/1148104378545813/","https://www.facebook.com/adidas/videos/1148104378545813/","2016-06-17T20:33:28+0000","video","","182162001806727_1148104378545813","138","949","NONE","891","False","False","ranked","54","False","",""
"Out to put on a show.  Bia e Branca Feres are fine-tuning their routine to make their country proud. #SpeedTakes perfection.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1145256535497264/","https://www.facebook.com/adidas/videos/1145256535497264/","2016-06-13T14:00:00+0000","video","Bia and Branca Feres: Speed Takes Perfection - adidas","182162001806727_1145256535497264","42","576","NONE","554","False","False","ranked","25","False","",""
"Four years ago, nerves and inexperience stopped Yohan Blake from doing what he wanted on the track. He’s a different person now. And he’s ready to go. #SpeedTakes transformation.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1144079355614982/","https://www.facebook.com/adidas/videos/1144079355614982/","2016-06-11T14:01:01+0000","video","SpeedTakes_YohanBlake_HeroFilm_FB&TW","182162001806727_1144079355614982","28","358","NONE","346","False","False","ranked","26","False","",""
"Zip up. Step out. The Light Grey #YEEZYBOOST 750 by Kanye West drops tomorrow.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1143568552332729/?type=3","https://www.facebook.com/adidas/posts/1143568552332729:0","2016-06-10T20:14:20+0000","photo","Timeline Photos","182162001806727_1143568552332729","26","522","NONE","504","False","False","ranked","40","False","",""
"He's chased this his whole life. Now Wayde Van Niekerk has joined his idols on the biggest stage. He’s here to make his own story. #SpeedTakes dreams.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1142710209085230/","https://www.facebook.com/adidas/videos/1142710209085230/","2016-06-09T14:01:05+0000","video","SpeedTakes_WaydeVanNiekerk_HeroFilm_TW&FB","182162001806727_1142710209085230","35","450","NONE","441","False","False","ranked","13","False","",""
"Today we start a journey to save the oceans. Make the pledge to support Parley for the Oceans Plastic Program. Create a movement.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1141916879164563/?type=3","https://www.facebook.com/adidas/posts/1141916879164563:0","2016-06-08T08:00:03+0000","photo","Timeline Photos","182162001806727_1141916879164563","82","1031","NONE","952","False","False","ranked","76","False","",""
"From the sea to the street. Introducing the adidas x Parley for the Oceans shoe, the world’s first created from recycled ocean plastic waste.","https://www.facebook.com/adidas/videos/1141464122543172/","https://www.facebook.com/adidas/videos/1141464122543172/","2016-06-07T14:00:54+0000","video","adidas x Parley: From Sea to Shoe","182162001806727_1141464122543172","397","898","NONE","830","False","False","ranked","64","False","",""
"The smallest error on the track can be the difference between first and second. Every millisecond counts for Rosangela Santos. #SpeedTakes pressure.   Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1140230932666491/","https://www.facebook.com/adidas/videos/1140230932666491/","2016-06-05T14:01:12+0000","video","SpeedTakes_RosangelaSantos_HeroFilm_FB_TW","182162001806727_1140230932666491","19","290","NONE","280","False","False","ranked","18","False","",""
"History in her hands. Garbiñe Muguruza: 2016 Roland Garros champion.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1140084839347767/?type=3","https://www.facebook.com/adidas/posts/1140084839347767:0","2016-06-05T08:00:05+0000","photo","Timeline Photos","182162001806727_1140084839347767","14","424","NONE","407","False","False","ranked","13","False","",""
"His friends used to be faster than him. Now they don‘t even come close. When they gave up, David Rudisha worked harder than ever. #SpeedTakes dedication.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1138518969504354/","https://www.facebook.com/adidas/videos/1138518969504354/","2016-06-02T18:37:57+0000","video","SpeedTakes_DavidRudisha_HeroFilm_FB_TW","182162001806727_1138518969504354","29","383","NONE","370","False","False","ranked","20","False","",""
"Behind every medal there’s a journey.  Daniel Dias' started in the pool. He knew what he wanted to do, and then he did it.  Now he’s making his country proud and inspiring millions.  #SpeedTakes freedom.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1134216379934613/","https://www.facebook.com/adidas/videos/1134216379934613/","2016-05-30T14:00:00+0000","video","Daniel Dias: Speed Takes Freedom - adidas","182162001806727_1134216379934613","53","418","NONE","385","False","False","ranked","19","False","",""
"Expected to win but feeling no pressure.  Shaunae Miller isn’t being cocky.  She knows that if you want the glory, you have to take it.  #SpeedTakes confidence.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1134214799934771/","https://www.facebook.com/adidas/videos/1134214799934771/","2016-05-28T14:00:00+0000","video","Shaunae Miller: Speed Takes Confidence - adidas","182162001806727_1134214799934771","698","1108","NONE","988","False","False","ranked","31","False","",""
"Every day, Mayra Aguiar competes to exceed her limits.  This is her fight to win. She won‘t settle for anything less.  #SpeedTakes willpower.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1134213743268210/","https://www.facebook.com/adidas/videos/1134213743268210/","2016-05-27T14:00:00+0000","video","Mayra Aguiar: Speed Takes Willpower - adidas","182162001806727_1134213743268210","37","324","NONE","312","False","False","ranked","11","False","",""
"Success doesn‘t come easy.  To be at his best, Sonny Bill Williams must work harder than ever.  #SpeedTakes training.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1131673803522204/","https://www.facebook.com/adidas/videos/1131673803522204/","2016-05-22T14:00:01+0000","video","Sonny Bill Williams: Speed Takes Training - adidas","182162001806727_1131673803522204","35","414","NONE","402","False","False","ranked","27","False","",""
"On the rings, concentration is key.  He hears nothing. He sees nothing.  Arthur Zanetti is in his zone.  #SpeedTakes focus.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1130597586963159/","https://www.facebook.com/adidas/videos/1130597586963159/","2016-05-20T14:04:21+0000","video","Arthur Zanetti: Speed Takes Focus - adidas","182162001806727_1130597586963159","35","369","NONE","351","False","False","ranked","13","False","",""
"First never follows.  Create a trail of 🔥🔥🔥 on the pitch with the Mercury Pack: X16, Messi16 and ACE16.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1130501250306126/?type=3","https://www.facebook.com/adidas/posts/1130501250306126:0","2016-05-20T10:36:34+0000","photo","Timeline Photos","182162001806727_1130501250306126","362","2347","NONE","2123","False","False","ranked","150","False","",""
"Winning is all the motivation Ajee' Wilson needs.  With the end goal in sight, she’s mapping out her route to victory.  #SpeedTakes planning.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1126427004046884/","https://www.facebook.com/adidas/videos/1126427004046884/","2016-05-14T14:00:00+0000","video","Ajee' Wilson: Speed Takes Planning - adidas","182162001806727_1126427004046884","1151","1860","NONE","1728","False","False","ranked","125","False","",""
"Practice, patience and proving people wrong.  Tori Bowie doesn’t feel pressure. She applies it.  #SpeedTakes belief.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1122111454478439/","https://www.facebook.com/adidas/videos/1122111454478439/","2016-05-06T14:01:03+0000","video","Tori Bowie: Speed Takes Belief - adidas","182162001806727_1122111454478439","52","481","NONE","462","False","False","ranked","32","False","",""
"Getting to the top is hard. Staying there is harder.  There’s always pressure, but it’s how you deal with it that counts.  Ellie Simmonds knows what it takes to win.  #SpeedTakes sacrifice.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1120266114662973/","https://www.facebook.com/adidas/videos/1120266114662973/","2016-05-03T14:00:55+0000","video","Ellie Simmonds: Speed Takes Sacrifice - adidas","182162001806727_1120266114662973","32","412","NONE","385","False","False","ranked","31","False","",""
"In her quest for medals, Laura Trott pushes her body to its limits.  She ignores the burn and focuses on being the fastest she can be.  That’s what wins medals.  #SpeedTakes pain.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1118513651504886/","https://www.facebook.com/adidas/videos/1118513651504886/","2016-04-30T14:00:42+0000","video","SpeedTakes_LauraTrott_HeroFilm_FB_TW","182162001806727_1118513651504886","301","810","NONE","757","False","False","ranked","33","False","",""
"When the heat wave hits, hit back.  Cooler heads prevail with Climachill.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1117177651638486/?type=3","https://www.facebook.com/adidas/posts/1117177651638486:0","2016-04-28T14:00:06+0000","photo","Timeline Photos","182162001806727_1117177651638486","25","1100","NONE","1082","False","False","ranked","25","False","",""
"Fit for a Queen. #SpeedTakes innovation. Introducing the new Team GB Kit. #100DaysToGo  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1116476041708647/?type=3","https://www.facebook.com/adidas/posts/1116476041708647:0","2016-04-27T09:45:02+0000","photo","Timeline Photos","182162001806727_1116476041708647","36","579","NONE","547","False","False","ranked","29","False","",""
"The greatest footprint we can have is not having one at all.  To celebrate Earth Day, we are proud to announce that plastic shopping bags in our retail stores are now history.  Learn more : http://a.did.as/6187Blb4Z","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1113478872008364/?type=3","https://www.facebook.com/adidas/posts/1113478872008364:0","2016-04-22T08:00:03+0000","photo","Timeline Photos","182162001806727_1113478872008364","86","979","NONE","936","False","False","ranked","32","False","",""
"They told Morgan Brian she was too small to play.  They were wrong.  Bigger doesn’t always mean better.  #SpeedTakes creativity.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1109942322362019/","https://www.facebook.com/adidas/videos/1109942322362019/","2016-04-16T14:00:54+0000","video","Morgan Brian: Speed Takes Creativity - adidas","182162001806727_1109942322362019","105","778","NONE","734","False","False","ranked","55","False","",""
"One giant leap into the future of sportswear.  The new adidas Y-3 Sport performance collection has arrived.  Available in stores and online now at http://a.did.as/6189BYdAS.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1109316472424604/?type=3","https://www.facebook.com/adidas/posts/1109316472424604:0","2016-04-15T14:00:10+0000","photo","Timeline Photos","182162001806727_1109316472424604","19","474","NONE","453","False","False","ranked","26","False","",""
"Following in her ancestor’s footsteps.  Tyla Nathan-Wong needs hard work and guts to succeed.  But more than anything, she needs support.  #SpeedTakes family.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1105708606118724/","https://www.facebook.com/adidas/videos/1105708606118724/","2016-04-09T14:00:41+0000","video","Tyla Nathan-Wong: Speed Takes Family - adidas","182162001806727_1105708606118724","155","850","NONE","817","False","False","ranked","56","False","",""
"Spit out fire. Sweat out weakness.  Climachill will guide you through the flames.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1103992916290293/?type=3","https://www.facebook.com/adidas/posts/1103992916290293:0","2016-04-06T14:00:09+0000","photo","Timeline Photos","182162001806727_1103992916290293","19","917","NONE","899","False","False","ranked","17","False","",""
"Create your mark. Earn your stripes.  Ana Ivanovic introduces the new adidas Roland Garros collection by Y-3.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1101436783212573/?type=3","https://www.facebook.com/adidas/posts/1101436783212573:0","2016-04-02T10:00:03+0000","photo","Timeline Photos","182162001806727_1101436783212573","36","731","NONE","706","False","False","ranked","29","False","",""
"No one hands Garbiñe Muguruza glory. She earns it herself. You’ve got to take your chances when you don’t have time to think. #SpeedTakes instinct.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1101006896588895/","https://www.facebook.com/adidas/videos/1101006896588895/","2016-04-01T15:53:57+0000","video","Garbiñe Muguruza: Speed Takes Instinct - adidas","182162001806727_1101006896588895","33","383","NONE","373","False","False","ranked","13","False","",""
"Eva de Goede has played for her country since she was 17.  But never on her own.  #SpeedTakes teamwork.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1097143853641866/","https://www.facebook.com/adidas/videos/1097143853641866/","2016-03-28T14:03:25+0000","video","Eva De Goede: Speed Takes A Team - adidas","182162001806727_1097143853641866","44","393","NONE","378","False","False","ranked","20","False","",""
"#SpeedTakes everything.  From the starting gun to the final whistle.  The creators of speed are ready.  Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1096211677068417/","https://www.facebook.com/adidas/videos/1096211677068417/","2016-03-27T14:01:08+0000","video","#SpeedTakes: Introducing the Creators of Speed - adidas","182162001806727_1096211677068417","830","2794","NONE","2609","False","False","ranked","705","False","",""
"Some run for shelter. Creators charge through.  Launch into the heat with Climachill.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1094515623904689/?type=3","https://www.facebook.com/adidas/posts/1094515623904689:0","2016-03-25T15:00:08+0000","photo","Timeline Photos","182162001806727_1094515623904689","24","719","NONE","694","False","False","ranked","25","False","",""
"Heat will fall, creators will rise.  Be unstoppable in the hottest conditions.  Climachill is Not Made for Normal.","https://www.facebook.com/adidas/videos/1092657350757183/","https://www.facebook.com/adidas/videos/1092657350757183/","2016-03-23T11:30:44+0000","video","Climachill: Not Made For Normal - adidas","182162001806727_1092657350757183","75","522","NONE","491","False","False","ranked","37","False","",""
"""I chose adidas because we have shared passions and values. They have the same vibe I do, on and off the pitch. My biggest passion is football and I needed a brand that would give me the space to express myself and explore new frontiers.""   Creators x adidas. Welcome to the family, Paul Pogba.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1087525181270400/?type=3","https://www.facebook.com/adidas/posts/1087525181270400:0","2016-03-16T09:00:09+0000","photo","Timeline Photos","182162001806727_1087525181270400","200","4138","NONE","4078","False","False","ranked","108","False","",""
"Create the future you've always imagined.  Put your best foot forward with the NMD City Sock, dropping worldwide March 17th (early May in the U.S.).","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1083753494980902/?type=3","https://www.facebook.com/adidas/posts/1083753494980902:0","2016-03-10T09:00:04+0000","photo","Timeline Photos","182162001806727_1083753494980902","53","1036","NONE","1004","False","False","ranked","89","False","",""
"When extraordinary is your ordinary, it's worth celebrating.  adidas Women get creative EVERY. DAMN. DAY. (Especially #InternationalWomensDay)","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1082765338413051/?type=3","https://www.facebook.com/adidas/posts/1082765338413051:0","2016-03-08T13:00:06+0000","photo","Timeline Photos","182162001806727_1082765338413051","113","1516","NONE","1447","False","False","ranked","50","False","",""
"The love you take is equal to the love you make.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1069270016429250/?type=3","https://www.facebook.com/adidas/posts/1069270016429250:0","2016-02-14T07:30:07+0000","photo","Timeline Photos","182162001806727_1069270016429250","1766","14356","NONE","14145","False","False","ranked","1673","False","",""
"Cutting-edge craftsmanship for a revolutionary run.  This is Futurecraft Tailored Fibre.","https://www.facebook.com/adidas/photos/a.1067342993288619.1073741858.182162001806727/1067343003288618/?type=3","","2016-02-10T15:00:43+0000","photo","Futurecraft Tailored Fibre - adidas","182162001806727_1067343003288618","95","265","NONE","240","False","False","ranked","30","False","",""
"Cutting-edge craftsmanship for a revolutionary run.  Introducing Futurecraft Tailored Fibre.","https://www.facebook.com/adidas/videos/1067208583302060/","https://www.facebook.com/adidas/videos/1067208583302060/","2016-02-10T10:02:37+0000","video","Futurecraft Tailored Fibre - adidas","182162001806727_1067208583302060","377","822","NONE","800","False","False","ranked","55","False","",""
"From the court to the beach, no type of training is off limits.  Caroline Wozniacki is #heretocreate. Get the full story: http://a.did.as/6184Bwyli","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1064504086905843/?type=3","https://www.facebook.com/adidas/posts/1064504086905843:0","2016-02-05T15:00:14+0000","photo","Timeline Photos","182162001806727_1064504086905843","10","700","NONE","693","False","False","ranked","13","False","",""
"Originality inspires strength.  Strength empowers independence.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1062948607061391/?type=3","https://www.facebook.com/adidas/posts/1062948607061391:0","2016-02-02T15:00:15+0000","photo","Timeline Photos","182162001806727_1062948607061391","10","429","NONE","424","False","False","ranked","15","False","",""
"We create the shoes. He creates the history. Novak Djokovic takes the #AusOpen. 🏆🏆🏆🏆🏆🏆","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1061891690500416/?type=3","https://www.facebook.com/adidas/posts/1061891690500416:0","2016-01-31T11:42:54+0000","photo","Timeline Photos","182162001806727_1061891690500416","27","643","NONE","641","False","False","ranked","13","False","",""
"Revolution through innovation. This is positive energy.  Created by women, for women. Introducing PureBOOST X.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1060390670650518/?type=3","https://www.facebook.com/adidas/posts/1060390670650518:0","2016-01-28T15:00:15+0000","photo","Timeline Photos","182162001806727_1060390670650518","62","786","NONE","777","False","False","ranked","35","False","",""
"You can follow what they say about you or use it as motivation to create your own game.","https://www.facebook.com/adidas/videos/1056070224415896/","https://www.facebook.com/adidas/videos/1056070224415896/","2016-01-19T17:00:41+0000","video","adidas: Creators Never Follow – Damian Lillard","182162001806727_1056070224415896","439","1049","NONE","1034","False","False","ranked","172","False","",""
"When you're the greatest of all time, creating history comes easy.  🏆🏆🏆🏆🏆","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1052679178088334/?type=3","https://www.facebook.com/adidas/posts/1052679178088334:0","2016-01-12T21:08:02+0000","photo","Timeline Photos","182162001806727_1052679178088334","582","8798","NONE","8735","False","False","ranked","263","False","",""
"What did you expect? Leo Messi is here to create.","https://www.facebook.com/adidas/videos/1052185531471032/","https://www.facebook.com/adidas/videos/1052185531471032/","2016-01-11T19:11:19+0000","video","adidas: I'm Here To Create feat. Leo Messi","182162001806727_1052185531471032","5958","7645","NONE","7595","False","False","ranked","309","False","",""
"Ballon d’Or number 5. The greatest of all time. Leo Messi is here to create.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1052177451471840/?type=3","https://www.facebook.com/adidas/posts/1052177451471840:0","2016-01-11T18:55:35+0000","photo","Timeline Photos","182162001806727_1052177451471840","136","2367","NONE","2352","False","False","ranked","59","False","",""
"Celebrate the New Year. Create the new in 2016.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1046369642052621/?type=3","https://www.facebook.com/adidas/posts/1046369642052621:0","2015-12-31T15:00:23+0000","photo","Timeline Photos","182162001806727_1046369642052621","193","1115","NONE","1112","False","False","ranked","54","False","",""
